belongs_to_collection,genres,original_language,popularity,production_companies,release_date,runtime,status,title,vote_average,return
-1,1636,17,3,3685,12,2,4,Amateur,2,0.0
-1,2384,17,4,9446,12,2,4,Apollo 13,3,6.83
-1,1023,17,4,20486,12,2,4,Rob Roy,2,1.13
-1,2207,17,3,13910,12,0,4,The Addiction,2,0.0
141,352,17,4,21776,12,2,4,Batman Forever,1,3.37
-1,2277,24,4,14940,9,1,4,Belle de Jour,3,0.0
-1,2360,17,3,4466,12,1,4,Beyond Rangoon,2,0.0
201,1599,17,4,12666,12,0,4,Blue in the Face,2,0.64
-1,330,17,4,15386,12,1,4,Canadian Bacon,1,0.02
229,2583,17,4,20583,12,1,4,Casper,1,5.76
-1,3154,17,3,20569,12,2,4,Clockers,2,0.52
-1,116,17,4,14699,12,2,4,Congo,0,3.04
-1,596,17,4,9094,12,2,4,Crimson Tide,3,2.97
-1,1845,17,3,18417,12,2,4,Crumb,3,0.0
824,3727,17,4,4550,12,2,4,Desperado,2,3.63
-1,2239,17,3,19672,12,1,4,Devil in a Blue Dress,2,0.6
340,621,17,4,19897,12,2,4,Die Hard: With a Vengeance,3,4.07
1214,240,17,4,21954,12,0,4,The Doom Generation,1,0.0
-1,2026,17,1,19548,12,2,4,Feast of July,0,0.0
-1,123,17,4,4302,12,2,4,First Knight,1,2.32
468,1023,17,4,16161,12,1,4,Free Willy 2 - The Adventure Home,1,0.0
-1,366,17,4,20485,12,2,4,Hackers,2,0.38
-1,1398,17,3,18948,12,1,4,Jeffrey,2,0.0
-1,665,17,4,19615,12,1,4,Johnny Mnemonic,1,0.76
-1,3561,17,4,9092,12,1,4,Judge Dredd,1,1.26
-1,1408,17,3,19700,12,0,4,Jury Duty,0,0.0
-1,2026,17,3,12735,12,1,4,Kids,2,4.94
-1,2000,17,4,9931,12,0,4,Living in Oblivion,3,2.3
-1,3214,17,3,20473,12,2,4,Lord of Illusions,1,0.0
-1,1408,17,1,19100,12,1,4,Love & Human Remains,3,0.0
-1,2053,17,3,19557,12,1,4,Mad Love,1,0.0
-1,3316,17,4,20692,12,1,4,Mallrats,2,0.35
981,173,17,4,20080,12,1,4,Mighty Morphin Power Rangers: The Movie,1,4.4
-1,1398,17,2,15385,12,1,4,Moonlight and Valentino,1,0.0
-1,3852,17,3,4697,12,1,4,Mute Witness,2,0.5
-1,3028,17,4,10426,12,1,4,Nadja,1,0.0
1191,1690,17,4,4664,12,2,4,The Net,1,5.03
-1,1599,17,4,19845,12,2,4,Nine Months,1,0.0
-1,1599,17,2,14990,12,1,4,Party Girl,1,3.15
1439,2698,17,4,5585,12,1,4,The Prophecy,2,2.0
-1,2580,17,0,15312,12,1,4,Reckless,3,0.0
-1,2384,17,4,10369,12,2,4,Safe,3,0.0
-1,2139,17,4,9092,12,2,4,The Scarlet Letter,1,0.21
-1,1845,17,0,-1,12,1,-1,The Show,1,0.0
1110,2384,17,4,20422,12,2,4,Showgirls,0,0.45
201,1408,17,4,12735,12,2,4,Smoke,3,1.19
-1,1599,17,3,17921,12,2,4,Something to Talk About,1,0.0
1144,3527,17,4,12442,12,2,4,Species,1,3.24
-1,2384,17,2,11930,12,2,4,The Stars Fell on Henrietta,2,0.0
-1,1700,17,4,11229,12,2,4,Strange Days,2,0.19
-1,2277,24,4,2340,9,1,4,The Umbrellas of Cherbourg,3,0.0
-1,3920,17,3,9100,12,1,4,The Tie That Binds,0,0.41
-1,2092,17,4,16979,12,2,4,Three Wishes,2,0.0
-1,2277,17,3,17656,12,2,4,Total Eclipse,2,0.0
-1,1599,17,4,20587,12,2,4,"To Wong Foo, Thanks for Everything! Julie Newmar",2,0.0
1575,621,17,4,16204,12,1,4,Under Siege 2: Dark Territory,1,1.74
-1,1350,17,3,9109,12,1,4,Unstrung Heroes,2,0.0
-1,1845,17,2,-1,12,0,4,Unzipped,1,0.0
-1,2277,17,4,20123,12,2,4,A Walk in the Clouds,2,2.5
-1,690,17,4,20690,12,2,4,Waterworld,1,1.51
-1,2384,17,3,8694,12,0,4,White Man's Burden,1,0.0
-1,642,17,4,20515,12,1,4,Wild Bill,1,0.0
-1,2384,17,3,14913,12,1,4,The Browning Version,1,0.0
-1,646,17,3,20124,12,1,4,Bushwhacked,0,0.0
208,2384,65,3,3213,12,2,4,Burnt by the Sun,2,0.93
-1,2376,17,3,15368,12,2,4,Before the Rain,3,0.0
153,2277,17,4,5489,12,2,4,Before Sunrise,3,2.21
-1,1599,17,4,9947,12,0,4,Billy Madison,2,2.65
-1,2360,17,3,17884,12,1,4,The Babysitter,0,0.0
-1,1408,17,3,16162,12,2,4,Boys on the Side,2,1.12
-1,2060,17,3,20715,12,1,4,The Cure,3,0.0
-1,3827,17,3,7897,12,1,4,Castle Freak,1,0.0
-1,2053,17,3,19114,12,2,4,Circle of Friends,2,0.0
259,1599,17,4,12729,12,1,4,Clerks,3,116.71
-1,3338,17,4,13317,12,1,4,Don Juan DeMarco,2,0.89
-1,2320,17,4,21680,12,2,4,Disclosure,1,3.89
-1,3920,17,0,10351,12,0,4,Dream Man,0,0.0
-1,187,17,4,14913,12,1,4,Drop Zone,1,0.0
-1,1639,34,1,16978,12,0,4,Destiny Turns on the Radio,1,0.0
-1,2349,17,4,7197,12,2,4,Death and the Maiden,3,0.0
-1,1694,17,4,3432,12,2,4,Dolores Claiborne,3,0.0
377,1599,17,4,13402,12,2,4,Dumb and Dumber,2,15.45
-1,1398,87,3,1074,12,2,4,Eat Drink Man Woman,3,0.0
-1,2241,17,4,12615,12,2,4,Exotica,2,0.0
-1,3772,17,3,16979,12,2,4,Exit to Eden,0,0.0
-1,1370,17,4,19557,12,2,4,Ed Wood,3,0.33
-1,1552,17,4,20045,12,2,4,French Kiss,2,0.0
-1,1398,17,4,4466,12,1,4,Forget Paris,2,0.0
-1,94,17,3,20124,12,0,4,Far from Home: The Adventures of Yellow Dog,1,0.0
26,3290,17,4,21572,12,0,4,A Goofy Movie,2,0.0
-1,2360,17,4,19700,12,2,4,Hideaway,0,0.81
-1,2046,17,3,12447,12,1,4,Fluke,2,0.0
-1,2831,24,4,9875,12,2,4,Farinelli,1,0.0
-1,2046,17,1,-1,12,1,4,Gordy,0,0.0
-1,2570,17,0,-1,12,0,4,Gumby: The Movie,0,0.0
-1,1900,17,2,12735,12,2,4,The Glass Shield,1,0.0
-1,1845,17,4,7209,12,2,4,Hoop Dreams,3,11.19
-1,2092,17,4,22077,12,1,4,Heavenly Creatures,3,0.61
-1,1445,17,3,3333,12,2,4,Houseguest,1,2.51
-1,2218,17,4,4551,12,2,4,Immortal Beloved,3,0.0
-1,1419,17,4,21477,12,1,4,Heavyweights,1,0.0
-1,621,17,3,20621,12,2,4,The Hunted,1,0.0
-1,1398,17,4,14913,12,1,4,I.Q.,1,0.0
1497,2976,17,4,8157,12,2,4,Interview with the Vampire,3,3.73
-1,2277,17,2,12300,12,2,4,Jefferson in Paris,1,0.18
-1,1313,17,1,3335,12,0,4,The Jerky Boys,0,0.0
-1,1438,17,4,20777,12,2,4,Junior,0,0.62
-1,435,17,4,7461,12,1,4,Just Cause,1,0.0
-1,927,17,4,21551,12,0,4,A Kid in King Arthur's Court,0,0.0
-1,348,17,4,20124,12,1,4,Kiss of Death,1,0.0
1160,680,17,4,11553,10,2,4,Star Wars,3,70.49
-1,2277,17,4,4664,12,2,4,Little Women,3,0.0
-1,2046,17,4,21816,12,1,4,A Little Princess,3,0.0
-1,2384,17,2,3666,12,1,4,Ladybird Ladybird,3,0.0
-1,1715,24,3,11760,12,1,4,L'Enfer,2,0.0
-1,2277,19,3,1726,12,2,4,Like Water for Chocolate,2,10.83
-1,853,17,4,2241,12,2,4,Legends of the Fall,3,5.35
-1,754,17,4,20937,12,1,4,Major Payne,2,0.0
-1,470,17,3,7213,12,1,4,Little Odessa,2,0.0
-1,1715,17,3,3640,12,1,4,Mi Vida Loca,1,0.0
-1,2277,17,3,21816,12,2,4,Love Affair,0,0.0
-1,2384,17,4,14913,12,2,4,Losing Isaiah,2,0.45
-1,1370,17,3,3674,12,2,4,The Madness of King George,2,0.0
-1,2186,17,4,1000,12,2,4,Mary Shelley's Frankenstein,2,2.49
-1,281,17,3,21572,12,1,4,Man of the House,1,0.0
-1,1398,17,3,19700,12,1,4,Mixed Nuts,1,0.0
-1,1552,17,3,14873,12,2,4,Milk Money,1,0.0
-1,2630,17,4,20124,12,2,4,Miracle on 34th Street,2,0.0
-1,1552,17,2,9109,12,1,4,Miami Rhapsody,1,0.83
-1,1408,17,3,985,12,2,4,My Family,3,0.0
-1,1715,17,4,22119,12,2,4,Murder in the First,3,0.0
-1,2000,17,3,14552,12,2,4,Nobody's Fool,3,0.0
-1,2360,17,4,19946,12,2,4,Nell,2,3.44
-1,1715,17,1,243,12,1,4,New Jersey Drive,3,0.0
-1,586,17,0,18620,12,1,4,New York Cop,0,0.0
-1,3032,17,1,12450,12,0,4,Beyond Bedlam,0,0.0
889,3452,17,2,7176,12,0,4,Nemesis 2 - Nebula,0,0.0
-1,2277,17,1,19768,12,1,4,Nina Takes a Lover,3,0.0
-1,1761,17,4,16165,12,2,4,Natural Born Killers,3,1.48
-1,1398,17,3,19700,12,2,4,Only You,2,0.0
922,2384,17,3,1703,12,1,4,Once Were Warriors,3,0.0
975,2271,17,4,13336,12,2,4,Poison Ivy II: Lily,0,0.0
-1,448,17,4,10511,12,2,4,Outbreak,2,3.8
-1,3798,24,4,4496,12,2,4,Leon: The Professional,3,2.83
-1,1398,17,2,16879,12,2,4,The Perez Family,2,0.26
-1,1398,17,1,9109,12,1,4,A Pyromaniac's Love Story,3,0.0
-1,3808,17,4,12609,12,2,4,Pulp Fiction,3,26.74
-1,2384,17,4,15391,12,2,4,Panther,2,0.0
-1,1408,87,2,1076,12,2,4,Pushing Hands,2,0.38
-1,2277,17,3,1845,12,1,4,Priest,2,0.0
-1,2831,17,4,22037,12,2,4,Quiz Show,3,0.0
-1,2150,17,2,3490,12,1,4,Picture Bride,3,0.0
-1,2150,24,3,16266,12,2,4,Queen Margot,3,0.0
-1,642,17,4,19700,12,2,4,The Quick and the Dead,2,0.58
-1,2000,74,3,9096,12,2,4,Roommates,2,0.56
-1,2000,17,4,12735,12,2,4,Prêt-à-Porter,1,0.75
1523,2229,24,4,22433,12,1,4,Three Colors: Red,3,0.0
1523,2214,24,4,7716,12,1,4,Three Colors: Blue,3,0.0
1523,1384,24,4,10817,12,1,4,Three Colors: White,3,0.0
-1,2384,87,0,-1,12,2,4,"Red Firecracker, Green Firecracker",3,0.0
-1,1441,17,2,-1,12,0,4,Rent-a-Kid,1,0.0
-1,2936,17,1,754,12,1,4,Relative Fear,0,0.0
-1,1408,17,2,14913,12,1,4,Stuart Saves His Family,0,0.0
1188,1227,17,4,16421,12,0,4,The Swan Princess,2,0.28
-1,2046,17,3,10133,12,1,4,The Secret of Roan Inish,2,0.0
-1,621,17,4,10061,12,2,4,The Specialist,1,3.79
-1,181,17,4,3581,12,2,4,Stargate,2,3.57
1454,2614,17,4,21500,12,1,4,The Santa Clause,2,8.63
-1,2026,17,4,3451,12,2,4,The Shawshank Redemption,3,1.13
-1,1770,17,4,3646,12,1,4,Shallow Grave,3,0.0
-1,2360,17,2,10425,12,1,4,Suture,1,0.0
-1,1408,19,3,12712,12,2,4,Strawberry and Chocolate,3,0.0
-1,1645,17,4,4041,12,1,4,Swimming with Sharks,2,0.0
-1,1398,17,2,16877,12,1,4,The Sum of Us,1,0.0
-1,1599,17,4,13308,12,1,4,Senior Trip,1,0.0
-1,2275,87,4,17289,12,2,4,To Live,3,0.0
-1,283,17,4,19733,12,1,4,Tank Girl,1,0.16
1200,2908,17,4,20882,12,1,4,Tales from the Crypt: Demon Knight,2,0.0
1158,3434,17,4,14913,12,2,4,Star Trek: Generations,2,3.16
-1,1732,17,3,241,12,1,4,Tales from the Hood,1,2.0
-1,2277,17,1,-1,12,2,4,Tom & Viv,1,0.0
-1,3868,17,4,20937,12,1,4,Village of the Damned,1,0.0
-1,1599,17,4,14913,12,1,4,Tommy Boy,2,0.0
-1,2277,17,4,17787,12,2,4,Vanya on 42nd Street,2,0.0
-1,3808,17,3,15414,12,1,4,The Underneath,1,0.0
-1,2376,17,1,16977,12,0,4,The Walking Dead,2,0.0
-1,3367,17,4,14913,12,2,4,What's Eating Gilbert Grape,3,0.91
-1,363,17,4,14913,12,2,4,Virtuosity,1,0.8
-1,1398,17,4,3333,12,2,4,While You Were Sleeping,2,10.71
-1,2384,17,3,20937,12,2,4,The War,2,0.0
-1,1552,17,1,7226,12,0,4,Double Happiness,1,0.0
-1,1977,17,4,3843,12,2,4,Muriel's Wedding,3,5.04
-1,1350,17,3,4260,12,1,4,The Baby-Sitters Club,1,0.0
33,1532,17,4,21759,12,0,4,Ace Ventura: Pet Detective,2,7.15
-1,2000,17,4,15386,12,2,4,"The Adventures of Priscilla, Queen of the Desert",3,0.0
-1,2222,17,3,8483,12,1,4,Backbeat,2,0.0
-1,3835,17,4,7216,12,2,4,Bitter Moon,3,0.37
-1,325,17,4,12735,12,1,4,Bullets Over Broadway,3,0.0
1367,459,17,4,14732,12,2,4,Clear and Present Danger,2,3.48
-1,2321,17,4,16169,12,2,4,The Client,2,2.61
-1,1346,17,4,13473,12,2,4,"Corrina, Corrina",2,0.0
-1,1408,17,3,20569,12,2,4,Crooklyn,2,0.0
1287,2530,17,4,12641,12,1,4,The Crow,3,6.27
-1,2384,17,3,16167,12,2,4,Cobb,2,0.0
1321,2583,17,4,20580,12,1,4,The Flintstones,0,7.43
-1,1398,17,4,14913,12,2,4,Forrest Gump,3,12.33
-1,1398,17,4,3667,12,2,4,Four Weddings and a Funeral,2,42.45
-1,3340,17,4,4355,12,2,4,Higher Learning,2,0.0
-1,1398,17,1,4403,12,2,4,I Like It Like That,2,0.0
-1,306,17,3,3335,12,2,4,I Love Trouble,1,1.38
-1,1398,17,4,19700,12,1,4,It Could Happen to You,2,0.0
-1,829,17,4,-1,12,2,4,The Jungle Book,1,0.0
-1,1814,17,1,3629,12,2,4,"The Wonderful, Horrible Life of Leni Riefenstahl",3,0.0
1383,2413,17,4,21562,12,0,4,The Lion King,3,17.52
-1,2150,17,4,12735,12,2,4,Little Buddha,1,0.14
29,3015,17,4,13473,12,2,4,New Nightmare,2,1.29
1401,3297,17,4,13346,12,1,4,The Mask,2,15.29
-1,48,17,4,9353,12,2,4,Maverick,2,0.0
-1,2384,17,3,7212,12,2,4,Mrs. Parker and the Vicious Circle,2,0.0
876,1313,17,4,14913,12,0,4,The Naked Gun 33⅓: The Final Insult,2,1.7
-1,1408,17,3,9446,12,2,4,The Paper,2,0.0
-1,2384,17,4,20720,12,1,4,Reality Bites,2,1.75
-1,1711,17,4,15648,12,1,4,Red Rock West,2,0.25
1027,1445,17,4,5295,12,1,4,Ri¢hie Ri¢h,1,0.0
-1,2384,17,3,13473,12,1,4,Safe Passage,0,0.0
-1,87,17,4,20653,12,2,4,The River Wild,2,0.0
1145,88,17,4,20124,12,2,4,Speed,2,11.68
-1,1552,17,3,12442,12,1,4,Speechless,1,0.0
1530,3895,17,4,20817,12,1,4,Timecop,1,3.76
-1,621,17,4,20010,12,2,4,True Lies,2,3.29
-1,2277,17,3,19557,12,2,4,When a Man Loves a Woman,1,0.0
-1,2735,17,4,4664,12,2,4,Wolf,1,0.0
-1,1918,17,4,19300,12,2,4,Wyatt Earp,2,0.4
-1,361,17,2,19555,12,2,4,Bad Company,0,0.0
-1,1408,17,1,1831,12,1,4,A Man of No Importance,2,0.0
-1,1408,17,3,8480,12,1,4,S.F.W.,2,0.0
-1,250,17,3,3333,12,1,4,A Low Down Dirty Shame,1,2.94
-1,2384,17,0,18116,12,1,4,"Boys Life: Three Stories of Love, Lust, and Liberation",0,0.0
-1,2384,24,2,-1,12,2,4,Colonel Chabert,1,0.0
-1,369,17,3,6519,9,0,4,"Faster, Pussycat! Kill! Kill!",2,0.0
-1,1699,17,2,-1,12,2,4,Jason's Lyric,1,2.98
-1,1221,17,1,2591,12,0,4,The Secret Adventures of Tom Thumb,3,0.0
1172,187,17,4,20628,12,1,4,Street Fighter,0,2.84
-1,330,17,3,15645,12,1,4,Coldblooded,2,0.0
-1,-1,17,0,-1,12,1,4,Desert Winds,0,0.0
-1,79,17,2,11406,12,0,4,Fall Time,2,0.0
435,3028,17,0,318,12,1,4,The Fear,0,0.0
-1,1845,17,0,21548,12,0,4,Frank and Ollie,3,0.0
-1,3276,17,1,14229,12,0,4,Girl in the Cadillac,3,0.0
-1,3840,17,0,17589,12,1,4,Homage,0,0.0
-1,621,17,1,-1,12,1,4,Mirage,0,0.0
-1,1599,17,0,9126,12,1,4,Open Season,0,0.0
-1,-1,17,0,-1,12,0,4,Dos Crímenes,0,0.0
-1,1845,17,0,-1,12,2,4,Brother Minister: The Assassination of Malcolm X,0,0.0
575,497,17,4,19585,12,1,4,Highlander: The Final Dimension,0,1.42
-1,-1,17,0,-1,12,1,4,Federal Hill,0,0.0
-1,2970,17,4,13473,12,1,4,In the Mouth of Madness,3,1.12
-1,2277,17,3,13473,12,2,4,8 Seconds,3,0.0
-1,1715,17,3,13473,12,1,4,Above the Rim,2,0.0
37,1426,17,4,14781,12,1,4,Addams Family Values,2,0.0
-1,1599,17,1,8687,12,0,4,Martin Lawrence: You So Crazy,0,0.0
-1,2277,17,4,4664,12,2,4,The Age of Innocence,3,0.95
-1,1297,17,4,19984,12,1,4,Airheads,1,0.0
-1,1445,17,3,9098,12,2,4,The Air Up There,1,1.23
1155,330,17,4,19557,12,2,4,Another Stakeout,0,0.0
-1,48,17,4,20071,12,1,4,Bad Girls,0,0.0
-1,1398,17,2,7195,12,1,4,Barcelona,2,0.0
-1,1962,17,3,21712,12,2,4,Being Human,0,0.0
-1,1599,17,4,20124,12,1,4,The Beverly Hillbillies,0,0.0
162,250,17,4,14625,12,2,4,Beverly Hills Cop III,1,2.38
-1,94,17,4,21816,12,0,4,Black Beauty,2,0.0
-1,3153,17,3,13473,12,2,4,Blink,2,0.0
